id,pred
2018_1104_1112,0.17538264393806458
2018_1104_1113,0.37339505553245544
2018_1104_1116,0.28292012214660645
2018_1104_1120,0.22743414342403412
2018_1104_1137,0.661609947681427
2018_1104_1138,0.3939751982688904
2018_1104_1139,0.35078495740890503
2018_1104_1153,0.10632489621639252
2018_1104_1155,0.26826074719429016
2018_1104_1158,0.7478815913200378
2018_1104_1166,0.26466137170791626
2018_1104_1168,0.7994911670684814
2018_1104_1172,0.38910871744155884
2018_1104_1181,0.11549068987369537
2018_1104_1196,0.27769941091537476
2018_1104_1199,0.39481762051582336
2018_1104_1209,0.8153802752494812
2018_1104_1211,0.1025911346077919
2018_1104_1222,0.2547752261161804
2018_1104_1233,0.803916871547699
2018_1104_1242,0.10702608525753021
2018_1104_1243,0.48856106400489807
2018_1104_1246,0.2449088990688324
2018_1104_1252,0.7713602781295776
2018_1104_1254,0.9128111004829407
2018_1104_1260,0.45298561453819275
2018_1104_1267,0.5753013491630554
2018_1104_1274,0.31883639097213745
2018_1104_1276,0.16830773651599884
2018_1104_1277,0.3738628327846527
2018_1104_1281,0.53267902135849
2018_1104_1285,0.5103307962417603
2018_1104_1293,0.544682502746582
2018_1104_1300,0.9123384356498718
2018_1104_1301,0.45090582966804504
2018_1104_1305,0.24495956301689148
2018_1104_1308,0.4070710837841034
2018_1104_1314,0.11508189141750336
2018_1104_1326,0.23839101195335388
2018_1104_1328,0.3953135013580322
2018_1104_1335,0.7340793609619141
2018_1104_1344,0.5239797234535217
2018_1104_1345,0.13705158233642578
2018_1104_1347,0.9051761627197266
2018_1104_1348,0.23138229548931122
2018_1104_1355,0.6688776016235352
2018_1104_1361,0.43983131647109985
2018_1104_1371,0.22000037133693695
2018_1104_1372,0.7557333111763
2018_1104_1382,0.540855348110199
2018_1104_1393,0.40875574946403503
2018_1104_1395,0.5416533350944519
2018_1104_1397,0.1613117903470993
2018_1104_1400,0.36696484684944153
2018_1104_1401,0.22445876896381378
2018_1104_1403,0.19394341111183167
2018_1104_1411,0.9316306114196777
2018_1104_1417,0.39481762051582336
2018_1104_1420,0.8756552934646606
2018_1104_1422,0.6296135187149048
2018_1104_1437,0.09882064908742905
2018_1104_1438,0.11111290007829666
2018_1104_1439,0.4969402551651001
2018_1104_1452,0.1600196659564972
2018_1104_1455,0.5222533345222473
2018_1104_1460,0.7650042176246643
2018_1104_1462,0.15781612694263458
2018_1112_1113,0.5659214854240417
2018_1112_1116,0.550685465335846
2018_1112_1120,0.26236411929130554
2018_1112_1137,0.7801794409751892
2018_1112_1138,0.8191816210746765
2018_1112_1139,0.6183127164840698
2018_1112_1153,0.276658296585083
2018_1112_1155,0.5040194392204285
2018_1112_1158,0.8228656053543091
2018_1112_1166,0.29124054312705994
2018_1112_1168,0.9395149946212769
2018_1112_1172,0.6047366261482239
2018_1112_1181,0.3510909676551819
2018_1112_1196,0.5811192989349365
2018_1112_1199,0.6997338533401489
2018_1112_1209,0.7780438661575317
2018_1112_1211,0.36015045642852783
2018_1112_1222,0.5005768537521362
2018_1112_1233,0.9162836670875549
2018_1112_1242,0.36954838037490845
2018_1112_1243,0.7755700945854187
2018_1112_1246,0.6045985817909241
2018_1112_1252,0.9365997910499573
2018_1112_1254,0.949999988079071
2018_1112_1260,0.6835976243019104
2018_1112_1267,0.806176483631134
2018_1112_1274,0.6103184223175049
2018_1112_1276,0.3420688211917877
2018_1112_1277,0.5927686095237732
2018_1112_1281,0.709270179271698
2018_1112_1285,0.789609968662262
2018_1112_1293,0.7743068337440491
2018_1112_1300,0.949999988079071
2018_1112_1301,0.6948418617248535
2018_1112_1305,0.5705809593200684
2018_1112_1308,0.632413923740387
2018_1112_1314,0.38919803500175476
2018_1112_1326,0.4500093460083008
2018_1112_1328,0.7441747188568115
2018_1112_1335,0.8595031499862671
2018_1112_1344,0.8625897765159607
2018_1112_1345,0.38047099113464355
2018_1112_1347,0.9485093355178833
2018_1112_1348,0.6300538778305054
2018_1112_1355,0.584065318107605
2018_1112_1361,0.6636866927146912
2018_1112_1371,0.6594536900520325
2018_1112_1372,0.8057971596717834
2018_1112_1382,0.7267122864723206
2018_1112_1393,0.8422979712486267
2018_1112_1395,0.4343283772468567
2018_1112_1397,0.44542258977890015
2018_1112_1400,0.7808996438980103
2018_1112_1401,0.7019380331039429
2018_1112_1403,0.4662982225418091
2018_1112_1411,0.9447782635688782
2018_1112_1417,0.64830082654953
2018_1112_1420,0.949999988079071
2018_1112_1422,0.6951907277107239
2018_1112_1437,0.2095084935426712
2018_1112_1438,0.2034107893705368
2018_1112_1439,0.6887384057044983
2018_1112_1452,0.3475560247898102
2018_1112_1455,0.42370906472206116
2018_1112_1460,0.9430064558982849
2018_1112_1462,0.4270697236061096
2018_1113_1116,0.31422045826911926
2018_1113_1120,0.25984326004981995
2018_1113_1137,0.7776489853858948
2018_1113_1138,0.4758097529411316
2018_1113_1139,0.3282001316547394
2018_1113_1153,0.10214611142873764
2018_1113_1155,0.24772533774375916
2018_1113_1158,0.7963648438453674
2018_1113_1166,0.5989364385604858
2018_1113_1168,0.9088153839111328
2018_1113_1172,0.6384721994400024
2018_1113_1181,0.1494469791650772
2018_1113_1196,0.25810450315475464
2018_1113_1199,0.38757190108299255
2018_1113_1209,0.773966372013092
